F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,Class
6.57,-45.35,71.22,-12.81,380,19.5,0.12,-10.52,11.61,20,16.95,-416.52,-6.2,19.7,TRUE
6.66,64.65,51.22,-11.81,30,28.65,-2.61,-9.32,8.43,20,15.87,-371.52,-5.54,13,FALSE
7.35,64.65,31.22,-13.21,195,31.2,5.34,-10.74,8.1,20,14.73,-311.52,-7.6,12.9,TRUE
10.57,32.65,25.22,-5.51,7,6.27,6.63,2.96,-4.68,2,28.14,-230.52,5.98,1.08,FALSE
7.42,54.65,51.22,-10.01,130,15.3,3.12,-8.22,5.85,20,17.37,-241.52,-4.6,12.2,FALSE
6.2,-10.35,51.22,-11.66,350,41.7,1.23,-7.18,2.43,20,14.73,-266.52,-8.48,11.5,FALSE
8.25,44.65,31.22,-10.86,255,15.15,5.88,-2.9,2.91,20,24.63,-401.52,-7.68,14.7,FALSE
6.1,-10.35,51.22,-11.46,35,26.1,-2.01,-7.5,5.64,20,20.88,-386.52,-9.72,15.5,FALSE
7.31,-55.35,51.22,-10.61,195,18,-2.91,-7.76,1.23,20,17.67,-431.52,-5.86,15.8,FALSE
7.28,29.65,31.22,-11.06,45,32.55,2.67,-7.06,10.23,20,14.79,-406.52,-10.42,19.3,TRUE
10.12,14.65,51.22,-10.66,330,17.85,1.53,-3,1.05,20,24.03,-456.52,-4.8,10.5,FALSE
11.09,19.65,25.22,-5.89,27,1.02,1.05,0.28,-4.11,2,27.96,-239.52,-1.78,2,TRUE
5.76,104.65,51.22,-11.46,295,23.4,3.9,-7.7,8.97,20,13.35,-321.52,-11.36,19.2,FALSE
6.33,19.65,71.22,-12.46,365,39,-2.19,-7.08,8.1,20,22.44,-371.52,-10.04,11.3,FALSE
10.27,42.65,25.22,-5.95,2,3.42,0.72,-1.14,-4.74,2,29.82,-227.52,2.72,0.76,FALSE
10.54,37.65,25.22,-6.04,65,4.47,1.86,-1.78,-3.6,2,30.72,-252.52,-1.28,1.86,TRUE
5.87,49.65,31.22,-11.66,10,20.25,-2.01,-6.94,10.44,20,16.35,-271.52,-10.32,13.2,TRUE
10.44,16.65,25.22,-6.11,67,5.31,7.29,-1.62,-6.57,2,27.12,-235.52,-1.94,1.4,TRUE
5.61,39.65,51.22,-14.76,305,18.3,2.04,-9.02,12.6,20,15.21,-236.52,-6.2,12.5,TRUE
6.19,109.65,51.22,-12.01,145,30.9,1.5,-8.64,9.87,20,12.96,-326.52,-11.68,19.1,TRUE
10.09,15.65,25.22,-5.97,14,3.09,3.39,0.18,-6.3,2,29.1,-226.52,5.36,1.58,TRUE
6.26,-5.35,51.22,-11.71,250,24.6,0.06,3.4,3.81,20,23.73,-451.52,-10.4,18,FALSE
10.28,38.65,25.22,-6.16,7,1.05,2.91,-1.4,-2.37,2,30.24,-240.52,1.96,0.98,TRUE
10.18,29.65,27.22,-6.19,14,1.83,2.91,-1.28,-6.3,2,31.29,-232.52,1.46,1.6,TRUE
8.49,69.65,51.22,-11.81,80,22.65,-0.69,-11.4,7.08,20,12.45,-311.52,-9.42,20.1,TRUE
7.54,124.65,51.22,-11.61,265,16.65,3.6,-7.68,9.39,20,16.38,-326.52,-9.4,14.5,FALSE
5.65,94.65,31.22,-15.26,190,19.05,5.97,-8.8,8.37,20,12.75,-381.52,-12.9,17.7,TRUE
7.55,-25.35,71.22,-10.46,30,23.55,2.49,-6.48,6.42,20,20.25,-286.52,-3.28,10.6,FALSE
10.61,18.65,29.22,-5.99,7,4.38,3.3,2.28,-3.15,2,38.1,-263.52,1.04,0.4,TRUE
10.32,26.65,29.22,-6.26,44,2.52,3.15,5.76,-8.82,2,29.22,-249.52,-1.18,1.02,TRUE
11.67,19.65,29.22,-6.24,13,3.51,2.37,2.26,-11.94,2,30.21,-232.52,5.12,1.7,TRUE
11.5,17.65,25.22,-5.37,9,1.92,3.09,-0.42,-6.39,2,48.3,-239.52,1.06,1.58,FALSE
10.32,39.65,21.22,-6.12,2,0.18,1.5,-0.96,-3.69,0,40.68,-240.52,-1.56,0.44,TRUE
5.87,-0.35,71.22,-11.91,55,18.6,-0.15,-10.06,10.5,20,15.57,-301.52,-4.86,13.3,FALSE
5.09,-0.35,51.22,-14.61,370,19.35,12.42,-10.58,10.08,20,17.61,-441.52,-10.1,16.5,TRUE
10.53,14.65,25.22,-5.61,29,5.37,-0.03,2.98,-5.04,2,35.97,-269.52,-1,1.38,FALSE
10.85,18.65,25.22,-5.95,23,5.52,3.15,-0.28,-2.7,2,27.87,-259.52,-1.42,1.6,TRUE
9.82,-65.35,71.22,-10.16,55,28.95,-4.53,-7.82,5.01,20,18.54,-321.52,-3.38,12.6,FALSE
11.45,25.65,29.22,-6,39,4.17,4.98,-1.04,-6.06,2,32.13,-265.52,7.32,0.1,FALSE
5.68,84.65,51.22,-13.01,50,27.9,-0.33,-9.44,7.68,20,12.87,-291.52,-7.42,12.1,TRUE
11.51,41.65,25.22,-6.23,22,3.81,2.25,-0.92,-8.04,2,31.41,-237.52,8.12,0.04,FALSE
6.22,44.65,31.22,-14.11,105,31.35,-0.87,-8.88,9.09,20,14.73,-461.52,-9.06,11.8,TRUE
6.5,84.65,31.22,-11.66,225,42.3,3,-8.58,9.93,20,17.82,-271.52,-9.68,14.8,TRUE
11.95,17.65,29.22,-5.81,8,0.51,2.01,3.88,-9.54,2,34.26,-234.52,-0.22,1.08,FALSE
10.26,23.65,29.22,-6.16,8,5.49,0.84,-0.04,-8.82,2,28.41,-270.52,0.14,1.04,TRUE
8.2,-0.35,71.22,-14.36,250,22.8,-0.72,-10.04,13.23,20,12.54,-276.52,-11.66,11.9,TRUE
10.38,9.65,29.22,-5.69,33,3.39,1.65,2.76,-4.11,2,36.81,-258.52,-0.96,1.52,FALSE
10.84,45.65,25.22,-6.14,16,1.71,3.6,-1.36,-6.12,2,26.46,-224.52,-1.92,2.06,TRUE
5.2,44.65,31.22,-14.31,335,26.1,6.27,-8.6,11.64,20,15.06,-341.52,-9.62,12,FALSE
11.2,17.65,25.22,-6.31,43,5.16,2.4,-0.04,-6.45,2,30.99,-263.52,-0.68,0.42,FALSE
10.83,25.65,29.22,-6.29,45,4.2,8.01,2.66,-5.85,2,29.88,-264.52,3.12,0.66,FALSE
8.11,-0.35,71.22,-11.11,80,23.25,4.95,-6.02,8.01,20,14.85,-326.52,-5.66,16.4,FALSE
5.23,44.65,51.22,-13.61,245,22.2,0.69,-7.5,11.16,20,14.94,-281.52,-9.1,16.7,TRUE
11.12,24.65,29.22,-5.82,4,1.41,11.04,2.72,-7.05,2,30.66,-265.52,9.42,1.82,FALSE
12.06,46.65,21.22,-5.98,15,4.14,1.8,1.02,-4.44,2,27.42,-264.52,5.34,1.72,TRUE
10.97,11.65,25.22,-5.39,22,4.59,1.29,0.04,-4.02,2,32.58,-264.52,9.7,1.08,FALSE
5.09,39.65,51.22,-15.21,215,24.75,3.54,-9.34,6.81,20,16.59,-381.52,-11.12,13.1,TRUE
11.23,49.65,31.22,-13.61,290,34.65,1.68,-11.2,8.46,20,15.03,-401.52,-11.4,15.8,TRUE
5.79,99.65,51.22,-12.36,45,17.85,-1.8,-5.92,8.34,20,14.16,-451.52,-7.28,17,TRUE
10.75,23.65,29.22,-5.84,10,3.33,1.86,0.98,-9.66,2,27.81,-248.52,2.04,1.18,TRUE
6.9,59.65,31.22,-10.41,120,19.8,0.24,-7.34,5.49,20,18.27,-326.52,-6.56,15.6,FALSE
6.07,-5.35,71.22,-13.31,240,23.4,-2.31,-9.7,9.36,20,25.23,-276.52,-6.7,12.2,TRUE
6.35,99.65,51.22,-13.41,125,20.55,3.48,0.36,7.74,20,13.05,-346.52,-10.12,15.3,TRUE
7.12,74.65,51.22,-11.16,145,16.95,0.78,-9.14,6.75,20,18.09,-281.52,-4.58,11.2,FALSE
11.22,9.65,25.22,-6.31,16,1.8,4.77,3.52,-2.25,2,29.43,-235.52,-1.26,0.94,TRUE
11.64,23.65,25.22,-6.07,17,0.18,1.98,-0.8,-3.96,2,30.87,-263.52,3.8,0.82,FALSE
14.74,25.65,29.22,-5.98,42,6,2.34,-0.02,-7.92,2,33.66,-235.52,2.56,1.54,TRUE
8.93,89.65,31.22,-10.91,95,15.9,4.71,-5.86,2.76,20,18,-401.52,-4.72,13,FALSE
7.54,79.65,31.22,-11.61,55,20.85,1.5,-7.62,2.85,20,13.89,-426.52,-9.62,18.5,FALSE
10.82,29.65,27.22,-5.73,46,6.09,0.81,0.82,-5.49,2,35.82,-253.52,-0.62,0.94,FALSE
6.57,104.65,31.22,-11.26,85,38.7,0.72,-6.24,8.28,20,16.8,-291.52,-10.4,16,TRUE
9.65,104.65,31.22,-13.66,100,28.95,2.46,-10.84,10.11,20,15.03,-231.52,-11.38,12,TRUE
11.67,15.65,29.22,-5.96,27,1.35,4.65,0.42,-11.79,2,31.83,-246.52,1.12,0.08,FALSE
11.61,38.65,21.22,-5.77,32,4.47,2.34,0.94,-3.78,2,30.63,-254.52,1.04,1.8,FALSE
11.93,48.65,25.22,-5.95,25,1.65,3.99,0.84,-3.42,2,28.32,-254.52,-1.32,1.72,TRUE
10.02,43.65,25.22,-6.24,7,1.2,4.2,-0.44,-8.22,2,28.62,-228.52,-0.8,2,TRUE
10.71,22.65,25.22,-6.18,19,4.44,8.04,1.8,-6.03,2,29.34,-265.52,-0.82,1.44,TRUE
5.83,114.65,51.22,-12.41,15,28.95,6.39,-9.44,6.75,20,15.33,-346.52,-10.64,14.8,TRUE
10.45,30.65,25.22,-5.99,19,4.02,5.13,4.96,-12.42,2,30.33,-229.52,-0.7,1.16,TRUE
10.35,33.65,25.22,-6.11,26,1.17,7.26,0.42,-2.37,2,27.42,-250.52,-0.26,1.7,TRUE
11.71,27.65,29.22,-5.86,2,3.69,6.21,-0.86,-7.32,2,28.14,-245.52,1.5,0.08,FALSE
6.94,-50.35,71.22,-11.96,90,22.2,3.51,-8.48,5.37,20,20.67,-421.52,2.9,13.4,FALSE
5.58,59.65,51.22,-14.01,295,29.1,0.15,-11.46,11.67,20,17.01,-356.52,-11.54,12.3,TRUE
6.65,114.65,51.22,-12.66,200,21.9,1.44,-4.44,6.06,20,18.12,-456.52,-8.16,12,FALSE
5.55,119.65,51.22,-11.66,335,37.2,4.86,-9.46,12.21,20,14.04,-291.52,-10.14,18,FALSE
11.51,13.65,25.22,-6.21,53,4.14,7.38,-0.06,-9.33,2,27.3,-244.52,-0.28,1.22,TRUE
8.89,-35.35,71.22,-10.36,315,44.85,-1.35,-7.66,3.87,20,18.09,-391.52,-7.32,14.1,FALSE
9.2,-65.35,71.22,-11.06,345,19.35,-0.27,-8.72,6,20,16.77,-291.52,-6.92,16.2,TRUE
13.54,23.65,25.22,-5.72,18,5.73,1.71,1.04,-5.46,2,29.1,-241.52,-1.3,1.52,TRUE
6.07,29.65,51.22,-13.36,15,15.15,-0.9,-9.58,9.69,20,18.09,-311.52,-9.64,10.2,TRUE
7.72,14.65,71.22,-12.11,280,31.35,-1.32,-10.06,6.9,20,16.83,-291.52,-9.52,15.9,TRUE
10.78,26.65,29.22,-5.93,11,2.37,2.4,-1.36,-7.08,2,29.7,-262.52,1.46,1.2,FALSE
16.1,22.65,29.22,-6.32,27,5.37,6.84,2.76,-1.65,2,29.34,-232.52,-2.04,1.96,TRUE
5.65,69.65,51.22,-10.46,360,39.9,1.95,-8.84,9.36,20,15.45,-231.52,-9.66,16.7,FALSE
6.03,-30.35,71.22,-13.51,345,22.65,0.99,-9.54,7.26,20,15.63,-421.52,-3.4,11.7,TRUE
5.5,94.65,31.22,-12.71,70,37.35,-1.11,-10.9,11.49,20,20.61,-261.52,-6.58,11.6,TRUE
10.28,10.65,29.22,-6.09,49,3.03,1.68,-1.6,-5.97,2,32.55,-257.52,0.44,1.26,FALSE
10.52,30.65,21.22,-6.07,11,5.73,1.5,2.62,-12.27,2,35.13,-242.52,3.28,1.3,TRUE
10.97,28.65,29.22,-6.23,78,4.95,1.41,0.52,-5.28,2,33.66,-247.52,6.18,0.86,TRUE
11.82,17.65,29.22,-5.87,3,2.64,0.36,4.12,-4.56,2,32.01,-258.52,7.36,0.98,TRUE
10.44,27.65,25.22,-6.05,22,4.62,0.54,6.26,-2.4,2,29.88,-246.52,-1.82,1.66,TRUE
7.32,104.65,51.22,-10.66,305,34.05,9.84,-7.46,1.86,20,20.55,-426.52,-5.82,13.8,FALSE
5.37,-60.35,71.22,-13.26,370,25.95,-2.64,-11.76,11.76,20,13.44,-266.52,-10.08,13.3,TRUE
8.06,-35.35,71.22,-11.66,315,24.45,8.7,-9.52,8.34,20,17.43,-416.52,-9.86,16.5,FALSE
5.81,79.65,51.22,-11.26,270,42,-0.03,-10.26,10.05,20,13.32,-371.52,-9.62,19.3,TRUE
7.87,34.65,51.22,-13.01,225,19.2,0.84,-10.28,2.13,20,11.73,-241.52,-10.62,14.9,TRUE
10.82,27.65,29.22,-6.14,26,4.92,0.93,2.8,-5.76,2,31.05,-258.52,1.46,0.08,FALSE
10.18,49.65,21.22,-6.15,1,3.33,3.36,-0.38,-10.65,2,35.07,-245.52,0.24,0.74,TRUE
10.31,38.65,21.22,-5.61,13,3.72,4.53,0.82,-6.24,2,36.06,-233.52,1.5,1.42,FALSE
12.54,28.65,25.22,-5.67,24,4.26,1.74,5.36,-10.59,2,28.8,-246.52,-1.04,0.64,FALSE
6.63,49.65,31.22,-10.51,90,19.65,3.81,-8.54,9.42,20,18.12,-291.52,-9.52,14.6,FALSE
8.8,44.65,51.22,-11.56,310,34.65,-1.14,-8.06,8.64,20,15.81,-381.52,-10.68,18.6,TRUE
6.29,44.65,31.22,-11.01,135,36.3,-2.94,-7.16,1.68,20,15.87,-346.52,-8.56,14.9,FALSE
6.03,44.65,51.22,-13.91,195,24.45,-1.17,-10.32,-0.42,20,14.76,-406.52,-6.02,12.4,TRUE
7.34,34.65,31.22,-14.31,195,20.85,1.86,-8.36,12.09,20,13.74,-316.52,-10.98,16.7,TRUE
10.72,17.65,29.22,-5.84,16,5.52,1.86,-0.58,-4.44,2,27.57,-229.52,-0.52,1.58,TRUE
10.43,27.65,29.22,-5.84,10,5.76,3.93,-0.98,-4.38,2,28.77,-260.52,4.3,1.1,TRUE
5.89,94.65,31.22,-15.26,295,16.95,3.42,-10.48,12.78,20,15.09,-426.52,-12.08,16.8,FALSE
14.12,26.65,25.22,-5.96,56,5.67,0.96,-0.64,-6.75,2,30.57,-233.52,-0.9,1,FALSE
8.67,-35.35,51.22,-12.86,270,27.75,6.51,-0.44,9.84,20,14.52,-421.52,-5.84,12.6,FALSE
6.85,-0.35,71.22,-10.96,285,43.95,-0.12,-3.04,6.45,20,17.19,-456.52,-4.26,15.9,FALSE
8.61,74.65,31.22,-12.16,85,20.55,2.34,-11.2,10.74,20,12.42,-261.52,-9.34,16.8,TRUE
14.34,33.65,25.22,-5.56,36,4.89,4.26,-1.08,-9.69,2,28.65,-235.52,1.4,1.48,FALSE
6.03,39.65,51.22,-10.71,85,17.55,-1.86,-6.26,10.14,20,15,-291.52,-9.54,15.9,FALSE
5.46,104.65,31.22,-11.96,385,26.7,4.32,-7.44,11.97,20,18.63,-246.52,-10.74,17.3,FALSE
8.5,39.65,31.22,-11.56,240,41.1,2.58,-8.2,8.13,20,20.16,-411.52,-0.46,14.4,FALSE
8.23,74.65,51.22,-10.81,120,42,-2.61,-5.74,7.29,20,25.11,-406.52,-6.3,14.3,FALSE
10.81,24.65,29.22,-5.84,13,4.02,0.63,1.62,-5.28,2,30.12,-229.52,3.78,0.22,TRUE
5.46,94.65,51.22,-12.71,375,30.9,6.15,-9.64,6.93,20,13.32,-271.52,-11.34,14.9,FALSE
6.88,89.65,51.22,-11.46,100,26.85,2.97,-6.52,6.6,20,16.65,-391.52,-6.92,13,FALSE
12.52,11.65,29.22,-5.73,7,4.89,-0.9,1.16,-5.82,2,31.95,-267.52,-1.4,1.82,TRUE
10.22,18.65,29.22,-6.09,75,5.4,8.13,3.54,-4.83,2,27.69,-231.52,1.06,0.66,TRUE
10.53,16.65,29.22,-5.58,13,3.42,0.33,3.48,-4.65,2,29.22,-237.52,-0.56,0.16,FALSE
5.1,-5.35,71.22,-14.61,320,15,-0.33,-12.18,12.57,20,13.74,-366.52,-11.14,14.9,TRUE
6.04,109.65,51.22,-12.61,245,17.55,12.54,-8.86,9.66,20,14.73,-416.52,-3.88,14,FALSE
11.56,25.65,25.22,-6.08,15,0.81,0.9,2.62,-4.8,2,31.2,-231.52,2.74,1,TRUE
7.93,94.65,31.22,-11.81,220,28.2,3.03,-10.26,9.69,20,17.58,-371.52,-8.72,18.9,FALSE
5.87,29.65,31.22,-15.31,175,18,6.12,-9.56,12.54,20,16.14,-361.52,-11.88,11.5,TRUE
7.08,-45.35,71.22,-10.56,60,23.25,2.43,-8.24,5.34,20,23.55,-361.52,-7.16,13.4,FALSE
9.66,29.65,31.22,-11.01,135,28.8,-2.13,-5.94,5.64,20,20.07,-446.52,-7.28,16.3,FALSE
6.34,99.65,31.22,-11.11,285,24.45,3.45,-9.34,0.27,20,15.72,-331.52,-10.02,17.4,FALSE
11.51,18.65,25.22,-5.91,3,2.28,6.87,-1.44,-5.49,2,33.18,-240.52,-1.7,1.96,TRUE
11.8,18.65,25.22,-6.11,56,2.7,6.63,-1.26,-7.77,2,28.26,-250.52,0.78,1,TRUE
5.76,64.65,51.22,-11.51,195,23.1,2.19,-10.14,5.97,20,12.6,-256.52,-6.18,17,TRUE
15.57,31.65,25.22,-5.86,10,4.29,7.02,-0.5,-5.4,2,28.68,-261.52,-0.3,0.76,FALSE
8.53,109.65,31.22,-11.36,190,40.65,-0.87,-7,8.76,20,17.4,-321.52,-7.38,11.8,FALSE
10.52,19.65,29.22,-6.3,42,2.82,2.94,-1.8,-2.73,2,26.91,-254.52,-1.76,1.52,TRUE
6.03,59.65,31.22,-12.41,85,27.3,-0.84,-6.64,12.21,20,13.41,-256.52,-10.38,14.3,TRUE
10.25,32.65,25.22,-6.31,39,2.07,3.78,-1.56,-3.15,0,27.9,-253.52,-0.2,0.58,TRUE
8.88,9.65,51.22,-10.61,160,38.4,1.98,-6.82,3.27,20,17.28,-326.52,-6.28,12.5,FALSE
11.46,15.65,25.22,-5.92,16,0.42,4.92,-0.96,-3.21,2,28.71,-239.52,-0.24,1.4,FALSE
4.92,34.65,31.22,-15.01,255,25.35,4.77,-11.08,12.63,20,16.05,-241.52,-12.64,10.5,TRUE
11.43,15.65,29.22,-6.23,12,1.56,0.87,-1.26,-4.59,2,29.01,-234.52,0.08,1.4,TRUE
10.4,43.65,21.22,-6.29,16,3.51,5.16,0.12,-1.89,2,27.09,-231.52,0.28,1.24,TRUE
11.33,13.65,25.22,-5.53,2,3.45,3.96,-0.84,-5.01,2,30.03,-259.52,4.74,0.98,FALSE
6.91,-10.35,71.22,-11.46,100,31.05,-3.84,-4.96,4.71,20,26.82,-351.52,-8.36,11.5,FALSE
8.18,104.65,51.22,-11.91,215,37.2,2.7,-8.88,3.93,20,19.74,-336.52,-9.34,10.1,FALSE
12.15,28.65,29.22,-5.65,16,2.37,1.68,-1.12,-3.15,2,33.42,-257.52,-0.46,1.22,FALSE
11.68,20.65,25.22,-5.99,2,0.63,1.53,5.56,-12.63,2,28.92,-268.52,-0.72,0.36,FALSE
7.3,84.65,51.22,-11.21,95,22.95,-0.03,-6.84,8.73,20,14.79,-341.52,-4.22,16.8,TRUE
5.94,49.65,51.22,-13.11,200,30.3,0,-3.08,7.59,20,15.39,-446.52,-9.52,14.1,TRUE
11,28.65,29.22,-6.11,46,4.92,5.34,1.56,-6.15,2,29.88,-255.52,-0.82,0.86,FALSE
8.46,114.65,51.22,-13.71,155,30.9,0.6,-6.98,10.8,20,21.21,-426.52,-9.92,13.8,TRUE
5.18,94.65,51.22,-12.21,165,26.85,-0.6,-11.92,12.06,20,17.58,-306.52,-10.4,19.6,TRUE
10.55,18.65,29.22,-5.39,2,2.07,1.74,1.14,-5.67,2,29.34,-265.52,0.42,1.82,FALSE
8.4,-25.35,51.22,-10.61,325,40.65,-1.68,-4.08,3.39,20,18.72,-326.52,-6.26,10.3,FALSE
10.63,32.65,25.22,-6.28,26,3.78,1.14,-1.1,-2.04,2,27.24,-228.52,-1.38,1.12,TRUE
12.32,12.65,29.22,-6.34,25,0.69,1.89,3.5,-2.31,2,42.84,-239.52,7.32,0.84,TRUE
13.48,37.65,21.22,-6.11,2,3.9,0.9,-1.22,-3.18,2,33.6,-254.52,-1.52,0.42,FALSE
6.86,94.65,31.22,-12.61,15,26.7,-2.31,-9.96,10.56,20,22.5,-401.52,-4.74,13.2,FALSE
8.12,19.65,71.22,-10.16,200,33.45,-3.78,-5.58,5.22,20,29.67,-371.52,-4.02,13.3,FALSE
10.17,16.65,25.22,-6.18,13,3.78,2.7,-1.52,-7.47,2,29.97,-257.52,6.96,1.9,TRUE
12.95,34.65,21.22,-6.05,3,1.98,2.61,6.4,-3.48,2,31.38,-250.52,1.44,1.72,TRUE
10.3,15.65,29.22,-5.92,75,4.05,2.76,1.62,-6.06,2,31.68,-250.52,-1.02,0.86,FALSE
5.87,114.65,31.22,-10.41,155,28.35,1.95,-10.42,9.51,20,19.68,-301.52,-9.62,18.2,FALSE
5.66,29.65,51.22,-13.21,350,17.7,3.84,-10.54,9.51,20,23.04,-436.52,-11.08,16.8,FALSE
10.86,10.65,25.22,-5.85,42,4.98,1.74,0,-4.02,2,29.4,-266.52,-0.14,1.28,FALSE
5.12,19.65,51.22,-12.46,160,19.65,1.56,-11.76,8.28,20,14.31,-241.52,-11.94,14.7,TRUE
12.48,18.65,29.22,-5.52,17,4.35,2.61,2.88,-5.37,2,31.95,-248.52,0.46,0.1,FALSE
12.54,44.65,25.22,-5.69,11,4.8,4.83,-0.18,-5.43,2,33.51,-243.52,-0.46,0.32,FALSE
7.14,114.65,31.22,-12.81,135,27.9,3.48,-7.98,9.6,20,15.96,-446.52,-8.94,12.9,FALSE
6.11,94.65,31.22,-13.81,265,19.05,5.61,-7.24,8.94,20,13.86,-306.52,-12.6,20.1,TRUE
10.64,39.65,25.22,-6.11,12,5.79,1.11,4.56,-6.18,2,27.69,-267.52,-1.34,0.96,FALSE
10.53,19.65,29.22,-5.63,27,2.16,0.48,4.3,-7.17,2,30.27,-236.52,-1.3,1.84,FALSE
5.64,-45.35,51.22,-12.16,310,33,3.51,-10.14,7.02,20,19.14,-361.52,-9.56,18.6,TRUE
11.35,18.65,29.22,-5.73,22,3.72,1.32,-0.24,-3.48,2,28.98,-261.52,2.6,1.32,FALSE
10.52,28.65,25.22,-6.02,35,2.13,5.61,4.06,-11.64,2,28.38,-249.52,-0.68,0.98,FALSE
11.98,27.65,29.22,-6.19,66,3.57,3.63,3.88,-4.89,0,34.32,-258.52,-1.72,0.58,TRUE
7.63,119.65,31.22,-12.06,35,21.45,1.77,-10.58,6.72,20,13.95,-341.52,-11.28,19.6,TRUE
6.68,44.65,51.22,-12.41,115,26.7,2.7,-8.46,11.46,20,14.37,-276.52,-10.7,12.1,TRUE
6.95,79.65,51.22,-12.36,340,23.85,3.72,-10.36,10.59,20,13.59,-386.52,-8.68,15.1,FALSE
9.24,-60.35,51.22,-10.26,110,24.3,1.56,-5.92,2.52,20,18.93,-376.52,-7.68,14.7,FALSE
11.89,46.65,25.22,-5.81,8,4.62,4.26,3.96,-3.6,2,29.97,-243.52,-0.82,0.42,FALSE
7.52,-55.35,71.22,-10.11,205,44.55,-1.47,-1.58,4.53,20,24.51,-336.52,-2.52,11.8,FALSE
6.21,94.65,21.22,-12.81,5,23.85,-0.27,-6.46,9.9,20,20.64,-391.52,-9.02,18.6,TRUE
13.69,17.65,25.22,-5.81,33,4.41,3.69,-0.7,-3.06,2,30.6,-240.52,1.84,0.58,FALSE
10.7,10.65,25.22,-5.67,8,0,1.8,10.62,-4.26,2,27.9,-266.52,-1.5,1.84,FALSE
12.51,12.65,25.22,-6.17,22,1.95,3.06,-1.5,-8.19,2,28.41,-235.52,3.3,0.32,FALSE
11.03,48.65,21.22,-6.24,37,4.59,2.43,1.4,-6.24,2,28.53,-269.52,1.72,2.02,TRUE
9.04,124.65,31.22,-13.81,175,18.9,8.46,-6.92,-0.21,20,15.24,-456.52,-6.5,10.2,FALSE
10.72,38.65,21.22,-5.86,29,3.06,2.58,0.92,-3.36,2,27.45,-259.52,4.94,1.94,TRUE
10.52,27.65,29.22,-6.08,44,0.96,2.16,0.16,-3.69,2,27.6,-256.52,-1.56,1.12,TRUE
8.53,39.65,41.22,-11.96,5,15.6,-1.26,0.08,-2.58,20,22.26,-431.52,-8.28,10.8,FALSE
11.49,39.65,25.22,-6.05,36,2.16,5.76,2,-3.81,2,27.84,-265.52,3.12,1.5,TRUE
10.81,26.65,29.22,-6.06,6,1.83,3.45,1.92,-10.47,2,27.99,-232.52,0.48,0.78,TRUE
13.2,21.65,25.22,-5.95,59,5.73,4.2,3,-6.72,2,35.7,-271.52,1,0.68,FALSE
6.07,9.65,51.22,-13.66,50,21.75,0.27,-7.76,4.08,20,18.87,-426.52,-9.28,10.7,TRUE
7.1,29.65,51.22,-10.61,215,34.2,3,-2.68,8.1,20,24.57,-446.52,-8.6,17.2,FALSE
12.46,28.65,25.22,-5.67,4,0.54,1.77,-1,-10.47,2,32.82,-226.52,-1.04,2,TRUE
5.48,84.65,51.22,-12.21,165,23.55,2.61,-8.1,-7.14,20,13.41,-426.52,-10.42,18.6,TRUE
11.63,12.65,25.22,-5.76,4,1.05,1.08,1.8,-3,2,28.5,-258.52,-0.5,1.42,FALSE
6.7,-0.35,71.22,-12.06,180,23.85,-3.12,-10.22,8.43,20,14.31,-296.52,-9.32,11.7,TRUE
10.17,11.65,25.22,-6.35,23,0.54,8.82,-1.26,-2.01,0,30.66,-240.52,-0.44,0.26,TRUE
10.5,17.65,29.22,-5.99,7,0.93,0.12,-0.1,-3.42,2,28.5,-265.52,-0.82,0.16,FALSE
12.01,10.65,25.22,-5.39,29,5.04,0.45,-0.58,-13.08,2,28.17,-253.52,-0.8,1.56,FALSE
6.8,124.65,51.22,-10.86,210,23.7,3.39,-6.06,7.74,20,22.5,-316.52,-5.74,11.7,FALSE
5.77,84.65,31.22,-12.91,165,26.55,5.19,-10.16,8.52,20,14.58,-366.52,-10.62,12.5,FALSE
6.15,-25.35,51.22,-11.91,110,26.7,-1.08,-4.98,1.11,20,21.24,-256.52,-6.58,10.5,FALSE
4.75,59.65,31.22,-12.51,140,24.6,0.9,-6.1,10.44,20,12.18,-261.52,-12.22,20.4,TRUE
9.06,69.65,31.22,-10.81,180,21.75,1.5,-6.82,1.32,20,20.88,-431.52,-7.16,12.4,FALSE
10.41,27.65,29.22,-5.86,24,5.97,0.33,2.24,-6.27,2,28.17,-247.52,-0.86,1.62,TRUE
10.1,30.65,21.22,-6.1,74,3.75,7.08,-1.72,-5.67,2,27.42,-229.52,0.08,1.88,TRUE
6.32,-0.35,71.22,-12.21,25,24.3,0.42,-1.64,8.19,20,19.83,-351.52,-6.42,10.9,FALSE
5.5,54.65,31.22,-15.16,390,37.5,3.33,-12.14,10.68,20,17.01,-261.52,-10.44,11.4,TRUE
5.33,114.65,31.22,-13.16,60,16.05,8.13,-9.94,11.22,20,13.77,-371.52,-8.12,14.4,FALSE
10.74,42.65,21.22,-5.85,3,3.69,0.93,-0.88,-3.45,2,29.13,-256.52,-1.48,1.54,FALSE
7.29,4.65,51.22,-13.31,215,35.25,-3.54,-6.66,9.69,20,14.91,-366.52,-9.8,11,TRUE
6.7,59.65,51.22,-11.51,15,19.65,3.12,-7.2,6.96,20,16.77,-436.52,-4.56,14.2,FALSE
11.38,11.65,29.22,-6.18,7,4.86,1.41,0.3,-4.26,2,28.83,-263.52,-1.14,1.62,TRUE
